4/15/2021, 4:16:57 AM | ERROR | TypeError: Cannot read property 'originalname' of undefined | 
4/15/2021, 5:43:40 PM | ERROR | 404 NOT FOUND:  "/user/verfiy/b15623e1-9312-4898-aea0-c7e9902cc128" NOT FOUND  | 
4/15/2021, 7:53:55 PM | ERROR | SyntaxError: Unexpected token } in JSON at position 71 | 
4/16/2021, 11:38:07 PM | ERROR | SyntaxError: Unexpected token } in JSON at position 71 | 
4/17/2021, 6:09:13 PM | ERROR | 404 NOT FOUND:  "/user/credits" NOT FOUND  | 
4/17/2021, 9:16:55 PM | ERROR | 404 NOT FOUND:  "/user/credits" NOT FOUND  | 
4/17/2021, 9:52:42 PM | ERROR | TypeError: Cannot read property 'originalname' of undefined | 
4/19/2021, 2:35:55 AM | ERROR | TypeError: Cannot read property 'originalname' of undefined | 
4/20/2021, 4:52:30 PM | ERROR | 404 NOT FOUND:  "/patient/" NOT FOUND  | 
4/21/2021, 4:59:49 PM | ERROR | 404 NOT FOUND:  "/user/update-credits" NOT FOUND  | 
4/21/2021, 6:56:38 PM | ERROR | RangeError [ERR_HTTP_INVALID_STATUS_CODE]: Invalid status code: undefined | 
4/21/2021, 7:14:47 PM | ERROR | SyntaxError: Unexpected token } in JSON at position 64 | 
4/21/2021, 11:12:36 PM | ERROR | 404 NOT FOUND:  "/patient/e96583e2-6f1b-444e-aef5-c233b5565cec/edit" NOT FOUND  | 
4/21/2021, 11:16:37 PM | ERROR | 404 NOT FOUND:  "/patient/e96583e2-6f1b-444e-aef5-c233b5565cec/" NOT FOUND  | 
4/21/2021, 11:31:18 PM | ERROR | 404 NOT FOUND:  "/patient/8ce6c8bf-57bf-4874-80d6-7299ae86badc/" NOT FOUND  | 
4/22/2021, 1:27:32 AM | ERROR | 404 NOT FOUND:  "/user/register" NOT FOUND  | 
4/22/2021, 1:28:33 AM | ERROR | SyntaxError: Unexpected token } in JSON at position 64 | 
4/22/2021, 1:47:49 AM | ERROR | 404 NOT FOUND:  "/user/credits" NOT FOUND  | 
4/22/2021, 2:57:27 AM | ERROR | TypeError: userValidationSchema is not a function | 
4/22/2021, 2:57:57 AM | ERROR | TypeError: userValidationSchema is not a function | 
4/22/2021, 2:58:08 AM | ERROR | ReferenceError: req is not defined | 
4/22/2021, 2:58:46 AM | ERROR | [object Object] | 
4/22/2021, 3:02:58 AM | ERROR | [object Object] | 
4/22/2021, 3:21:55 AM | ERROR | ReferenceError: object is not defined | 
4/22/2021, 3:22:53 AM | ERROR | [object Object] | 
4/22/2021, 3:23:44 AM | ERROR | [object Object] | 
4/22/2021, 3:28:21 AM | ERROR | [object Object] | 
4/22/2021, 3:28:30 AM | ERROR | [object Object] | 
4/22/2021, 3:29:42 AM | ERROR | [object Object] | 
4/22/2021, 3:30:04 AM | ERROR | [object Object] | 
4/22/2021, 3:30:53 AM | ERROR | [object Object] | 
4/22/2021, 3:31:01 AM | ERROR | [object Object] | 
4/22/2021, 3:31:06 AM | ERROR | [object Object] | 
4/22/2021, 3:39:38 AM | ERROR | [object Object] | 
4/22/2021, 3:42:03 AM | ERROR | [object Object] | 
4/22/2021, 3:42:47 AM | ERROR | [object Object] | 
4/22/2021, 3:43:13 AM | ERROR | [object Object] | 
4/22/2021, 3:44:08 AM | ERROR | [object Object] | 
4/22/2021, 3:45:30 AM | ERROR | undefined | 
4/22/2021, 3:46:07 AM | ERROR | undefined | 
4/22/2021, 3:47:03 AM | ERROR |  "/user/register" NOT FOUND  | 
4/22/2021, 3:48:52 AM | ERROR | [object Object] | 
4/22/2021, 3:48:59 AM | ERROR | [object Object] | 
4/22/2021, 3:49:06 AM | ERROR | [object Object] | 
4/22/2021, 3:49:44 AM | ERROR | [object Object] | 
4/22/2021, 3:50:08 AM | ERROR | [object Object] | 
4/22/2021, 3:50:19 AM | ERROR | [object Object] | 
4/22/2021, 3:50:26 AM | ERROR | [object Object] | 
4/22/2021, 5:13:58 PM | ERROR | ReferenceError: req is not defined | 
4/22/2021, 5:14:31 PM | ERROR | [object Object] | 
4/22/2021, 5:15:41 PM | ERROR | TypeError: schema.validate is not a function | 
4/22/2021, 5:19:04 PM | ERROR | ReferenceError: body is not defined | 
4/22/2021, 5:21:44 PM | ERROR | TypeError: Cannot read property 'validate' of undefined | 
4/22/2021, 5:24:21 PM | ERROR | [object Object] | 
4/22/2021, 5:25:42 PM | ERROR | TypeError: Cannot read property 'validate' of undefined | 
4/22/2021, 5:29:01 PM | ERROR | SyntaxError: Unexpected token } in JSON at position 18 | 
4/22/2021, 5:29:39 PM | ERROR | [object Object] | 
4/22/2021, 5:29:57 PM | ERROR | [object Object] | 
4/22/2021, 5:31:15 PM | ERROR | [object Object] | 
4/22/2021, 5:31:23 PM | ERROR | [object Object] | 
4/22/2021, 7:17:01 PM | ERROR | 404 NOT FOUND:  "/patient/" NOT FOUND  | 
4/22/2021, 7:17:06 PM | ERROR | [object Object] | 
4/22/2021, 7:17:21 PM | ERROR | [object Object] | 
4/22/2021, 7:19:13 PM | ERROR | [object Object] | 
4/22/2021, 7:20:55 PM | ERROR | [object Object] | 
4/22/2021, 7:38:23 PM | ERROR | 404 NOT FOUND:  "/user/credits" NOT FOUND  | 
4/22/2021, 7:38:25 PM | ERROR | 404 NOT FOUND:  "/user/credits" NOT FOUND  | 
4/22/2021, 7:38:26 PM | ERROR | 404 NOT FOUND:  "/user/credits" NOT FOUND  | 
4/22/2021, 7:38:29 PM | ERROR | 404 NOT FOUND:  "/user/credits" NOT FOUND  | 
4/22/2021, 7:39:02 PM | ERROR | 404 NOT FOUND:  "/user/credits" NOT FOUND  | 
4/22/2021, 7:39:42 PM | ERROR | [object Object] | 
4/22/2021, 7:39:43 PM | ERROR | [object Object] | 
4/22/2021, 7:39:44 PM | ERROR | [object Object] | 
4/22/2021, 7:39:52 PM | ERROR | [object Object] | 
4/22/2021, 7:41:25 PM | ERROR | [object Object] | 
4/22/2021, 7:41:32 PM | ERROR | [object Object] | 
